date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:20	466628/466628	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:17%20GMT	https://www.harenamanasoa.org/about	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/about.html	(from https://www.harenamanasoa.org/)
20:16:20	476227/476227	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:17%20GMT	https://www.harenamanasoa.org/nous	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/nous.html	(from https://www.harenamanasoa.org/)
20:16:21	473186/473186	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:18%20GMT	https://www.harenamanasoa.org/value	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/value.html	(from https://www.harenamanasoa.org/)
20:16:21	489472/489472	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:18%20GMT	https://www.harenamanasoa.org/equipe	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/equipe.html	(from https://www.harenamanasoa.org/)
20:16:22	460568/460568	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:19%20GMT	https://www.harenamanasoa.org/statuts	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/statuts.html	(from https://www.harenamanasoa.org/)
20:16:22	461919/461919	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:19%20GMT	https://www.harenamanasoa.org/madagascar	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/madagascar.html	(from https://www.harenamanasoa.org/)
20:16:23	479673/479673	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:19%20GMT	https://www.harenamanasoa.org/projets	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/projets.html	(from https://www.harenamanasoa.org/)
20:16:23	475647/475647	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:20%20GMT	https://www.harenamanasoa.org/cantine-scolaire-a-andramasina	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/cantine-scolaire-a-andramasina.html	(from https://www.harenamanasoa.org/)
20:16:24	438777/438777	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:20%20GMT	https://www.harenamanasoa.org/projets-passes	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/projets-passes.html	(from https://www.harenamanasoa.org/)
20:16:24	467366/467366	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:21%20GMT	https://www.harenamanasoa.org/support	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/support.html	(from https://www.harenamanasoa.org/)
20:16:24	490259/490259	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:22%20GMT	https://www.harenamanasoa.org/album-photos	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/album-photos.html	(from https://www.harenamanasoa.org/)
20:16:25	631631/631631	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:22%20GMT	https://www.harenamanasoa.org/mission-ambohijafy-2023	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/mission-ambohijafy-2023.html	(from https://www.harenamanasoa.org/)
20:16:26	585293/585293	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:23%20GMT	https://www.harenamanasoa.org/assemblee-general-ordinaire-19-07-2	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/assemblee-general-ordinaire-19-07-2.html	(from https://www.harenamanasoa.org/)
20:16:26	588113/588113	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:22%20GMT	https://www.harenamanasoa.org/ag-ordinaire-du-07-janvier-2023	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/ag-ordinaire-du-07-janvier-2023.html	(from https://www.harenamanasoa.org/)
20:16:27	623125/623125	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:23%20GMT	https://www.harenamanasoa.org/remisedonsactionscovid-19	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/remisedonsactionscovid-19.html	(from https://www.harenamanasoa.org/)
20:16:27	655384/655384	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:24%20GMT	https://www.harenamanasoa.org/visiteantanetibe5fev2020	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/visiteantanetibe5fev2020.html	(from https://www.harenamanasoa.org/)
20:16:28	615118/615118	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:24%20GMT	https://www.harenamanasoa.org/visiteambalavao5fev2020	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/visiteambalavao5fev2020.html	(from https://www.harenamanasoa.org/)
20:16:28	645424/645424	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:25%20GMT	https://www.harenamanasoa.org/missionambohijafy27janv2020	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/missionambohijafy27janv2020.html	(from https://www.harenamanasoa.org/)
20:16:29	643920/643920	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:26%20GMT	https://www.harenamanasoa.org/missionambohimarina27janv2020	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/missionambohimarina27janv2020.html	(from https://www.harenamanasoa.org/)
